[05/19/26 16:12:14] [INFO] received Windows console close event; shutting log-core down
[05/19/26 18:50:43] [INFO] received Windows console close event; shutting log-core down
[05/19/26 21:51:36] [INFO] received Windows console close event; shutting log-core down
[05/19/26 23:08:07] [INFO] received Windows console close event; shutting log-core down
[05/20/26 11:14:10] [INFO] received Windows console close event; shutting log-core down
[05/20/26 12:31:19] [INFO] received Windows console close event; shutting log-core down
[05/20/26 12:38:57] [INFO] received Windows console close event; shutting log-core down
[05/20/26 12:48:25] [INFO] received Windows console close event; shutting log-core down
[05/20/26 12:49:23] [INFO] received Windows console close event; shutting log-core down
[05/20/26 13:07:56] [INFO] received Windows console close event; shutting log-core down
[05/20/26 13:10:35] [INFO] received Windows console close event; shutting log-core down
[05/20/26 13:34:57] [INFO] received Windows console close event; shutting log-core down
[05/20/26 13:41:23] [INFO] received Windows console close event; shutting log-core down
[05/20/26 13:47:37] [INFO] received Windows console close event; shutting log-core down
[05/20/26 14:09:32] [INFO] received Windows console close event; shutting log-core down
[05/20/26 14:13:46] [INFO] received Windows console close event; shutting log-core down
[05/20/26 14:23:06] [INFO] received Windows console close event; shutting log-core down
[05/20/26 14:25:29] [INFO] received Windows console close event; shutting log-core down
[05/20/26 14:39:05] [INFO] received Windows console close event; shutting log-core down
[05/20/26 14:50:21] [INFO] received Windows console close event; shutting log-core down
[05/20/26 15:11:48] [INFO] received Windows console close event; shutting log-core down
[05/20/26 15:11:49] [INFO] received Windows console close event; shutting log-core down
[05/20/26 15:14:03] [INFO] received Windows console close event; shutting log-core down
[05/20/26 18:54:36] [INFO] received Windows console close event; shutting log-core down
[05/20/26 19:03:55] [INFO] received Windows console close event; shutting log-core down
[05/20/26 21:16:34] [INFO] received Windows console close event; shutting log-core down
[05/20/26 21:21:23] [INFO] received Windows console close event; shutting log-core down
[05/20/26 22:37:19] [INFO] received Windows console close event; shutting log-core down
[05/20/26 23:12:19] [INFO] received Windows console close event; shutting log-core down
[05/20/26 23:19:57] [INFO] received Windows console close event; shutting log-core down
[05/21/26 00:12:41] [INFO] received Windows console close event; shutting log-core down
[05/21/26 00:22:31] [INFO] received Windows console close event; shutting log-core down
[05/21/26 00:31:47] [INFO] received Windows console close event; shutting log-core down
[05/21/26 12:41:50] [INFO] received Windows console close event; shutting log-core down
[05/21/26 12:49:40] [INFO] received Windows console close event; shutting log-core down
[05/21/26 12:55:43] [INFO] received Windows console close event; shutting log-core down
[05/21/26 13:02:56] [INFO] received Windows console close event; shutting log-core down
[05/21/26 13:26:01] [INFO] received Windows console close event; shutting log-core down
[05/21/26 14:36:40] [INFO] received Windows console close event; shutting log-core down
[05/21/26 20:06:47] [INFO] received Windows console close event; shutting log-core down
[05/21/26 20:23:47] [INFO] received Windows console close event; shutting log-core down
[05/21/26 20:26:53] [INFO] received Windows console close event; shutting log-core down
[05/21/26 20:31:22] [INFO] received Windows console close event; shutting log-core down
[05/21/26 20:41:04] [INFO] received Windows console close event; shutting log-core down
[05/21/26 20:49:13] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:00:45] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:00:46] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:03:22] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:06:29] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:14:45] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:25:56] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:29:29] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:35:30] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:37:08] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:41:10] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:45:31] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:49:36] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:53:11] [INFO] received Windows console close event; shutting log-core down
[05/21/26 22:09:13] [INFO] received Windows console close event; shutting log-core down
[05/22/26 00:49:26] [INFO] received Windows console close event; shutting log-core down
[05/22/26 01:11:40] [INFO] received Windows console close event; shutting log-core down
